ID	Entry_ID	Segments	Meaning	reconstructed
64	559-barat	b ɒ r aː t	Mönch, Nächster, Freund, Freund	^(b)(a|ɒ|o|a.ɣ)?(r|j.r|w.r)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(t)$
66	568-bard	b aː r.d	einziger, Mann, Tage, fällen, Art, Beil, Art, Axt, Hellebarde	^(b)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
67	588-barsony	b aː r.ʃ o ɲ	Samt	^(b)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(r.t͡ʃ)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(n|m)$
68	593-baszik	b ɒ s i k	vögeln, ficken, etw, scheißen, öfters, ficken, tadeln	^(b)(a|ɒ|o|a.ɣ)?(s)(i|a|y|ɛ|ɯ)(k|ɡ)(i)?$
69	600-bator	b aː t o r	mutig, sicher, sanft, schnell, mutig, mutig	^(b)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(t|l.t)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r)$
70	636-beke	b eː k ɛ	Ruhe, Friede, Bund, versöhnen, demütigen	^(b)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(k)(ɛ|ɛ.ɣ)(i|y|ɛ|u)?$
71	640-bel	b eː l	Eingeweide, Innere, Fruchtfleisch, Docht, Seele, Darm, Magen, inner	^(b)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(l|j)?(i|y)?$
72	663-ber	b eː r	Lohn, Miete, Knecht	^(b)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk)?$
74	671-berek	b ɛ r ɛ k	Ufer, Hain, Moor	^(b)(ɛ|i|y|ø|a)(r|j.r)(ɛ|i|y|ø|a)(k|ɡ)$
75	677-berkenye	b ɛ r.k ɛ ɲ ɛ	Eberesche, Vogelbeere	^(b)(ɛ|i|y|ø|a)(r.k)(ɛ|i|y|ø|a)(n|m)(ɛ|ɛ.ɣ)$
76	682-bese	b ɛ ʃ ɛ	Art, Raubvogel, Milan, Krähe	^(b)(ɛ|i|y|ø|a)(ʃ|t͡ʃ)(ɛ|ɛ.ɣ)(i|y|ɛ|u)?$
77	683-besenyo	b ɛ ʃ ɛ ɲ øː		^(b)(ɛ|i|y|ø|a)(ʃ|t͡ʃ)(ɛ|i)(n|m)(ɛ.ɣ|i.ɣ|yː)$
78	688-beszed	b ɛ s eː d	Rede, Wort, Märchen	^(b)(ɛ|i|y|ø|a)(s)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(n)(i)?$
79	696-bezzeg	b ɛ zː ɛ ɡ	ja, Sporn, Haken, Schwierigkeit, Gewißheit	^(b)(ɛ|i|y|ø|a)(s)(ɛ|i|y|ø|a)(ɡ|k)(i)?$
80	707-bibor	b iː b o r	feines, Leinengewebe, Samt, Rot, Saft, gewonnener, Farbstoff, purpurfarben, Kleid, rot, gefärbt, Kleid, Leinengewebe, gemacht, Kleid, Kardinal	^(b)(i|iː)(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r)(i|y|ɛ|u|i.ɣ|a.t)?$
81	721-bika	b i k ɒ	Stier, großer, starker, Mann, männliches, Tier, geschlechtlich, kräftiger, Mann, Buhler, Rammbock, Dampfmaschine	^(b)(i|a|y|ɛ|ɯ)(k)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ)?$
82	748-bivaly	b i v ɒ j	Büffel, dummer, Mensch, Dreschmaschine	^(b)(i|a|y|ɛ|ɯ)(v|w)(a|ɒ|o|a.ɣ)(l|j|ɣ.y.l)$
83	751-bizik	b iː z i k	zuversichtlich, jmdm, trauen, anvertrauen, Sache, vorsetzen, überlassen, Vertrauen, vertrauen, zuversichtlich, zuversichtlich, zuversichtlich, Vertrauen, Ausschluß	^(b)(i|iː)(z|s)(i|a|y|ɛ|ɯ)(k|ɡ)(i|y)?$
84	753-bizony	b i z o ɲ	wahr, bestimmt, wahrlich, Zeuge, Wahrheit, Wahrheit, sicher, Gewißheit, wahrlich, wahrlich	^(b)(i|a|y|ɛ|ɯ)(z|s)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(n|m)$
85	777-bocsar	b o t͡ʃ aː r	Böttcher, Kellermeister	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(t͡ʃ|l.t͡ʃ|r.t͡ʃ)(a|aː|a.ɣ.a|a.ɣ.i|i)(r)$
86	788-bodor	b o d o r	Teil, bes, Bandes, Haares, Name, versch, haariger, Pflanzen, kraus, kraus	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(d|l.d|w.d|n.d)(u|o|a)?(r)$
88	792-bog	b o ɡ	Knoten, Glied, Ast	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(ɡ|k)(i|y|ɛ|u|i.ɣ|a.t)?$
89	794-bogar	b o ɡ aː r	Käfer, Mucke, Pupille, Insekten, geplagt, laufen, Käfern, bedeckt	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(ɡ)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(r)(i)?$
90	806-bojt	b o j.t	Büschel, Zottel, Quaste, Behang, Knoten, Tannenzweig, junger, Nadelbaum, Gruppe, Nadelbäumen	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(ɣ.t|ɣ.u.t|l)(i|y|ɛ|u)?$
91	810-boka	b o k ɒ	Schienbein, Knöchel, Handgelenk, Leder, Art, Fußbekleidung, tanzen	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(k)(a|a.ɣ|a.w|ɒ)?(i|y)?$
92	816-bokor	b o k o r	Strauch, Busch, Büschel, Haufen, Paar, Menschengruppe, buschig, durchgehend, Pferd, durchgehen, Pferd	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(k)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r)(i)?$
93	819-boksa	b o k.ʃ ɒ	junger, Ziegenbock, einjähriger, Hammel, Kohlenmeiler	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(k.ʃ)(a|a.ɣ|a.w|ɒ)?(i|y)?$
94	823-boldog	b o l.d o ɡ	heilig, selig, reich, glücklich, freudig, zufrieden, friedlich, gut, dick, schwanger, fortkommen, glücklich, fortkommen, selig, Verstorbener, verstorben	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(l.d|n.d)(u|o|a)?(ɡ|k)$
98	833-bolt	b o l.t	Gewölbe, Laden, Geschäft, Räumlichkeit, gewölbter, Decke, Kammer, Keller, Bogen, Regenbogen, gewölbt, Kaufmann	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(l.t)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk)?$
99	834-boly	b o j	Ameisenhaufen, Gruppe, Rudel, Bündel, Maulwurfshügel	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(l|j|ɣ.y.l)(i|y|ɛ|u)?$
101	853-bor	b o r	Obstwein	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk)?$
102	865-borju	b o r.j uː	Kalb, Jungtier, Schwachkopf, Tornister, Art, Kartenspiel	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r.ɣ|r)(a.ɣ|u.ɣ|u|a.ɣ.u|o.ɣ)(i)?$
103	877-bors	b o r.ʃ	Pfeffer, Paprika	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r.t͡ʃ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk)?$
104	880-borz	b o r.z	Dachs	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r.s)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk)?$
105	888-bot	b o t	Kolben, Keule, Stock, Stab, Zepter, Streitkolben, Aufsicht, Herrschaft, Macht, Klotz, prügeln, Weidenruten, schneiden, Zweige, abschneiden	^(b)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(t)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk)?$
106	900-bo	b øː	reich, breit, weit, weitschweifig, ausführlich, vermehren, reichlich	^(b)(ɛ.ɣ|i.ɣ|yː)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
107	901-bodon	b ø d ø n	Holz-, od, Nahrungsmittel, hohler, Baumstamm, Bienenstock, Einbaum, hohler, Baumstamm, Loch, Stamm	^(b)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(d|l.d|w.d|n.d)(ɛ|y|ø|i)(n)$
108	907-bojt	b ø j.t	Fastenzeit, Hungern, rituelles, Fasten, Elend	^(b)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(ɣ.t|ɣ.u.t|l)(i|y|ɛ|u)?$
109	908-bok	b ø k	stoßen, verletzen, zeigen	^(b)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(k|ɡ)(i|y|ɛ|u|i.ɣ|a.t|ɛk)?$
110	911-bolcs	b ø l.t͡ʃ	weise, kluge, Person, Gelehrter, Philosoph	^(b)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(l.t͡ʃ|t͡ʃ)(i|y|ɛ|u|i.ɣ|a.t|ɛk)?$
111	913-boleny	b ø l eː ɲ	Wisent, Bison	^(b)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(l|r.l)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(n)$
112	959-bu	b uː	Gram	^(b)(a.ɣ|u.ɣ|u|a.ɣ.u|o.ɣ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
114	967-bucsu	b uː t͡ʃ uː	Erlaubnis, Ablaß, Abschied, Wallfahrt, Kirchweihfest, Kirchweihfest, bezüglich, Teilnehmer, Kirchweihfest	^(b)(u|uː|u.ɣ|u.ɣ.u|i|o|o.ɣ)(t͡ʃ|l.t͡ʃ|r.t͡ʃ)(a.ɣ|u.ɣ|u|a.ɣ.u|o.ɣ)$
115	973-buga	b u ɡ ɒ	Kapselfrucht, Tannenzapfen, Augapfel, Kokon, Lein-, od, Rispe	^(b)(u|ɯ|u.w.a|u.ɣ)(ɡ)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ|u)?$
116	984-bujik	b uː j i k	verbergen, etw, tauchen, etw, vertiefen, schlüpfen, Kleidungsstück, aufgehen, Pflanze, Vorwand, Ausweg	^(b)(u|uː|u.ɣ|u.ɣ.u|i|o|o.ɣ|i.ɣ.u)(l|j|j.a|ɣ)(i|a|y|ɛ)(k)$
117	989-bukik	b u k i k	tauchen, fallen, stürzen, Niederlage, erleiden, etw, stoßen, führende, Rolle, verlieren, Fall, kommen, durchfallen, Unterrichtsfach, Polizei, Hände, fallen, erpicht	^(b)(u|ɯ|u.w.a|u.ɣ)(k)(i|a|y|ɛ|ɯ)(k|ɡ)(i|y)?$
118	1020-busa	b u ʃ ɒ	untersetzt, kräftig, wohlhabend, voll, Stimme, derb, roh, eigensinnig, dicke, Augenbrauen, od, düsteren, Blick, habend, hinterlistig, dumm, Dickkopf, Art, Fisch	^(b)(u|ɯ|u.w.a|u.ɣ)(ʃ|t͡ʃ)(a|a.ɣ|a.w|ɒ)?(i|y)?$
119	1026-buta	b u t ɒ	abwärts, gebogen, dumm, stumpf, derb, schwer, dicht, blind, unberechenbar, stumpf	^(b)(u|ɯ|u.w.a|u.ɣ)(t|l.t)(a|a.ɣ|a.w|ɒ)?(i|y)?$
120	1033-buza	b uː z ɒ	Weizen	^(b)(u|uː|u.ɣ|u.ɣ.u|i|o|o.ɣ|i.ɣ.u)(z|s)(a|a.ɣ|a.w|ɒ)?(i)?$
122	1041-budos	b y d ø ʃ	stark, riechend, stinkend, abstoßend, unangenehm, beängstigend, Angelegenheit, Situation, Auslauf, Ballspiel, Gefängnis	^(b)(y|i|ɛ)(d|l.d|w.d|n.d)(ɛ|y|ø)(t͡ʃ|ɣ|ʃ|l.t͡ʃ)$
123	1045-bukk	b y kː	Buchenwald, Buche	^(b)(y|i|ɛ)(k)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
124	1056-buvos	b yː v ø ʃ	zauberhaft, magisch	^(b)(y|yː|y.ɣ.y|ɛ.w.y|i.ɣ.i|ɛ.ɣ.i|y.ɣ|i|i.ɣ|ø)(v|w)(ɛ|y)(t͡ʃ|ɣ|ʃ)$
125	1076-beke	b eː k ɛ	Ruhe, Friede, Bund, versöhnen, demütigen	^(b)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(k)(ɛ|ɛ.ɣ)(i|y|ɛ|u)?$
126	1080-bel	b eː l	Eingeweide, Innere, Fruchtfleisch, Docht, Seele, Darm, Magen, inner	^(b)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(l|j)?(i|y)?$
127	1102-ber	b eː r	Lohn, Miete, Knecht	^(b)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk)?$
129	1110-berek	b ɛ r ɛ k	Ufer, Hain, Moor	^(b)(ɛ|i|y|ø|a)(r|j.r)(ɛ|i|y|ø|a)(k|ɡ)$
130	1116-berkenye	b ɛ r.k ɛ ɲ ɛ	Eberesche, Vogelbeere	^(b)(ɛ|i|y|ø|a)(r.k)(ɛ|i|y|ø|a)(n|m)(ɛ|ɛ.ɣ)$
