ID,Description,Entry_ID,Spacy
dasFreie-2,das Freie,8489-szabad,das Freie
freieLuft-1,freie Luft,5604-levego,freie Luft
luftartige-1,luftartige,5604-levego,
gasformigeSubstanz-1,gasförmige Substanz,5604-levego,gasförmige Substanz
Niemand-1,Niemand,5604-levego,Niemand
Niemand-2,Niemand,7247-pityipalko,Niemand
Niemand-3,Niemand,8044-senki,Niemand
Brief-1,Brief,5605-level,Brief
BlatteinerPflanze-1,Blatt einer Pflanze,5605-level,Blatt einer Pflanze
Adels-1,Adels-,5605-level,Adels
Freibriefusw-1,Freibrief usw,5605-level,Freibrief usw
SeiteimBuch-1,Seite 〈im Buch〉,5605-level,Seite im Buch
dunneMetallplatte-1,dünne Metallplatte,5605-level,dünne Metallplatte
plattenformigerGegenstand-1,plattenförmiger Gegenstand,5605-level,plattenförmiger Gegenstand
Blatterteig-1,Blätterteig,5605-level,Blätterteig
Blattertreiben-1,Blätter treiben,5605-level,Blätter treiben
blattrigPfanze-1,blättrig 〈Pfanze〉,5605-level,blättrig Pfanze
einesVerbrechensverdachtigt-1,eines Verbrechens verdächtigt,5605-level,eines Verbrechens verdächtigt
brieflichverfolgt-1,brieflich verfolgt,5605-level,brieflich verfolgt
entblattern-1,entblättern,5605-level,entblättern
Triebeentfernen-1,Triebe entfernen,5605-level,Triebe entfernen
Briefwechselfuhren-1,Briefwechsel führen,5605-level,Briefwechsel führen
Lavendel-1,Lavendel,5606-levendula,Lavendel
Recke-1,Recke,5607-levente,Recke
MitgliedeinerJugendorganisationzurvormilitarischenAusbildungzwischendenbeidenWeltkriegen-1,Mitglied einer Jugendorganisation zur vormilitärischen Ausbildung zwischen den beiden Weltkriegen,5607-levente,Mitglied einer Jugendorganisation zur vormilitärischen Ausbildung zwischen den beiden Weltkriegen
levescsik-1,levescsík,5609-levestikom,
Worterbuch-1,Wörterbuch,5610-lexikon,Wörterbuch
Wortgut-1,Wortgut,5610-lexikon,
ausfliegen-1,ausfliegen,5611-lezeng,ausfliegen
schwindeln-1,schwindeln,5611-lezeng,schwindeln
schwindeln-2,schwindeln,8621-szedeleg,schwindeln
sicherholen-1,sich erholen,5611-lezeng,sich erholen
Laser-1,Laser,5612-lezer,Laser
Liane-1,Liane,5614-lian,Liane
Ganschen-1,Gänschen,5615-liba,
Ganschen-2,Gänschen,10131-zsiba,
Gansekuken-1,Gänseküken,5615-liba,
einfaltigesMadchen-1,einfältiges Mädchen,5615-liba,einfältiges Mädchen
dummesWeib-1,dummes Weib,5615-liba,dummes Weib
MoosaufdemDach-1,Moos auf dem Dach,5615-liba,Moos auf dem Dach
Gansehaut-1,Gänsehaut,5616-libabor,Gänsehaut
imGansemarschgehen-1,im Gänsemarsch 〈gehen〉,5617-libasorban,im Gänsemarsch gehen
sichleichtfortbewegen-1,sich leicht fortbewegen,5618-libeg,sich leicht fortbewegen
schlottern-1,schlottern,5618-libeg,schlottern
schlottern-2,schlottern,7429-potyog,schlottern
schlottern-3,schlottern,7773-reszket,schlottern
leichtesKleidfurFrauen-1,leichtes Kleid für Frauen,5618-libeg,leichtes Kleid für Frauen
Hemdbluse-1,Hemdbluse,5618-libeg,Hemdbluse
Schwebebahn-1,Schwebebahn,5618-libeg,Schwebebahn
gutwillig-1,gutwillig,5619-liberalis,gutwillig
freisinnig-1,freisinnig,5619-liberalis,
freisinnig-2,freisinnig,8492-szabados,
Liberaler-1,Liberaler,5619-liberalis,Liberaler
MantelvondeutschenFusoldaten-1,Mantel von deutschen Fußsoldaten,5620-liberia,Mantel von deutschen Fußsoldaten
Livree-1,Livree,5620-liberia,Livree
ArthohereLehranstalt-1,Art höhere Lehranstalt,5622-liceum,Art höhere Lehranstalt
Lichtschacht-1,Lichtschacht,5623-lichthof,Lichtschacht
versteigern-1,versteigern,5624-licital,versteigern
reizenimKartenspiel-1,reizen 〈im Kartenspiel〉,5624-licital,reizen im Kartenspiel
Damon-1,Dämon,5625-liderc,Dämon
Sternschnuppe-1,Sternschnuppe,5625-liderc,Sternschnuppe
